Title	Given planned earliest start	Given planned earliest end	Notes	Assigned Resources	Additional Title
"Ingénieur Recherche Innovation et Développement (Présentation)"	"09/03/2018 02:00 PM CEST"	"09/03/2018 04:00 PM CEST"	"Groupe : IRD_MSM"	""	"Amphi 201"
"Ingénieur Recherche Innovation et Développement (Présentation)"	"09/03/2018 04:15 PM CEST"	"09/03/2018 06:15 PM CEST"	"Groupe : IRD_MSM"	""	"Amphi 201"
"Ingénieur Recherche Innovation et Développement (Cours)"	"09/04/2018 08:00 AM CEST"	"09/04/2018 10:00 AM CEST"	"Groupe : IRD_MSM"	""	"Inconnue"
"Structures de Recherche Nationales et Internationales - Philosophie, Sciences et Société (Cours)"	"09/04/2018 10:15 AM CEST"	"09/04/2018 12:15 PM CEST"	"Enseignant : FLANDRIN Laure Groupe : IRD_MSM"	""	"Amphi 1bis"
"Créativité, ergonomie, design, innovation, compétitivité (Cours)"	"09/04/2018 02:00 PM CEST"	"09/04/2018 04:00 PM CEST"	"Enseignant : CONSTANT Damien Groupe : IRD_MSM"	""	"Amphi 1bis"
"Ingénieur Recherche Innovation et Développement (Cours)"	"09/04/2018 04:15 PM CEST"	"09/04/2018 06:15 PM CEST"	"Groupe : IRD_MSM"	""	"Inconnue"
"Gestion du Projet de recherche et Interdisciplinarité (Cours)"	"09/05/2018 08:00 AM CEST"	"09/05/2018 10:00 AM CEST"	"Groupe : IRD_MSM"	""	"Amphi 202"
"Gestion du Projet de recherche et Interdisciplinarité (Cours)"	"09/05/2018 10:15 AM CEST"	"09/05/2018 12:15 PM CEST"	"Groupe : IRD_MSM"	""	"Amphi 202"
"Gestion du Projet de recherche et Interdisciplinarité (Cours)"	"09/05/2018 02:00 PM CEST"	"09/05/2018 04:00 PM CEST"	"Groupe : IRD_MSM"	""	"Amphi 201"
"Créativité, ergonomie, design, innovation, compétitivité (Cours)"	"09/05/2018 04:15 PM CEST"	"09/05/2018 06:15 PM CEST"	"Enseignant : CONSTANT Damien Groupe : IRD_MSM"	""	"Amphi 201"
"Gestion du Projet de recherche et Interdisciplinarité (BE)"	"09/06/2018 08:00 AM CEST"	"09/06/2018 10:00 AM CEST"	"Enseignant : CREYSSELS Mathieu, ROGER Michel Groupe : IRD_MSM"	""	"Salle 120, Salle 111"
