end_time,start_time,duration,time_offset,exercise_type,max_speed,calorie,mean_speed,update_time,live_data,distance,datauuid,create_time
2018-08-09 17:59:38.000,2018-08-09 17:42:00.000,1057695,UTC+0200,1001,1.9004618,68.6882,1.4694984,2018-08-09 18:03:12.146,007f2447-c695-4445-88c5-d503481163d6.live_data.json,1554.2812,007f2447-c695-4445-88c5-d503481163d6,2018-08-09 18:03:12.146
2018-07-19 22:01:45.000,2018-07-19 21:15:28.000,2776486,UTC+0100,1001,1.6356475,182.22229,1.4552989,2018-07-19 22:04:29.988,00c942a1-c864-4179-907d-b8badd97d7f6.live_data.json,4040.6172,00c942a1-c864-4179-907d-b8badd97d7f6,2018-07-19 22:04:29.988
2018-08-13 21:23:19.000,2018-08-13 21:09:09.000,850278,UTC+0200,1001,1.6452429,54.645508,1.4346869,2018-08-13 21:30:53.619,01491fa6-d52c-4ed1-a86f-e600d17ca239.live_data.json,1219.8828,01491fa6-d52c-4ed1-a86f-e600d17ca239,2018-08-13 21:30:53.619
2018-07-19 07:27:04.000,2018-07-19 06:51:32.000,2131806,UTC+0100,1001,1.7570962,138.73798,1.4671017,2018-07-19 07:43:06.285,0397e84e-095f-4dd6-aaac-a63f11ce7efb.live_data.json,3127.5762,0397e84e-095f-4dd6-aaac-a63f11ce7efb,2018-07-19 07:43:06.285
2018-06-24 13:06:24.000,2018-06-24 12:51:00.000,924717,UTC+0100,1001,1.397217,53.14264,1.2242429,2018-06-24 13:17:43.210,0568e951-103d-46a4-8851-38e7ae842dfd.live_data.json,1132.0781,0568e951-103d-46a4-8851-38e7ae842dfd,2018-06-24 13:17:43.210
2018-10-13 14:09:21.000,2018-10-13 13:54:05.000,915444,UTC+0200,1001,1.5092027,52.817017,1.2607527,2018-10-13 14:12:02.862,06191161-283b-45d8-bd87-dfc66446b20e.live_data.json,1154.1484,06191161-283b-45d8-bd87-dfc66446b20e,2018-10-13 14:12:02.862
2018-09-27 11:59:19.000,2018-09-27 11:41:00.000,1099738,UTC+0200,1001,1.5765433,64.84943,1.268793,2018-09-27 12:01:52.006,067300ce-35a3-425a-baa5-7cdb4388f451.live_data.json,1395.3398,067300ce-35a3-425a-baa5-7cdb4388f451,2018-09-27 12:01:52.006
2018-06-03 08:16:44.000,2018-06-03 07:58:34.000,1089743,UTC+0100,1001,1.6095868,63.732475,1.29304,2018-06-03 08:22:50.803,07005280-1776-413f-bb55-091c19b99e84.live_data.json,1409.0814,07005280-1776-413f-bb55-091c19b99e84,2018-06-03 08:22:50.803
2018-08-30 13:09:44.000,2018-08-30 12:58:08.000,695443,UTC+0200,1001,1.5571597,46.15741,1.4726702,2018-08-30 13:15:00.028,08e5c964-4bd1-4eba-a621-3c680ef6e6c4.live_data.json,1024.1582,08e5c964-4bd1-4eba-a621-3c680ef6e6c4,2018-08-30 13:15:00.028
2018-08-25 12:14:05.000,2018-08-25 11:38:00.000,2165611,UTC+0200,1001,1.6748899,117.69995,1.184295,2018-08-25 12:17:40.526,091449c9-39c5-4efa-aa3d-16f32a9d1c84.live_data.json,2564.7227,091449c9-39c5-4efa-aa3d-16f32a9d1c84,2018-08-25 12:17:40.526
2018-06-28 17:46:05.000,2018-06-28 17:23:00.000,1385152,UTC+0100,1001,1.6293017,88.26831,1.4187466,2018-06-28 17:55:07.197,0acbdf91-12b0-4a3e-8ed6-a2dfea916f61.live_data.json,1965.1797,0acbdf91-12b0-4a3e-8ed6-a2dfea916f61,2018-06-28 17:55:07.197
2018-08-14 18:36:22.000,2018-08-14 18:19:00.000,1042309,UTC+0200,1001,1.9589224,70.3374,1.5322689,2018-08-14 18:56:15.045,0c049b64-5f02-42a7-932e-f799087d5451.live_data.json,1597.0977,0c049b64-5f02-42a7-932e-f799087d5451,2018-08-14 18:56:15.045
2019-01-23 17:02:07.000,2019-01-23 16:42:00.000,1207026,UTC+0100,1001,1.741434,75.83503,1.398287,2019-01-23 17:11:56.006,0c4e0e3d-a20f-4625-83cc-180e57842399.live_data.json,1687.7688,0c4e0e3d-a20f-4625-83cc-180e57842399,2019-01-23 17:11:56.006
2018-08-13 18:32:14.000,2018-08-13 18:10:00.000,1334374,UTC+0200,1001,1.6750696,86.01538,1.4404109,2018-08-13 21:08:39.473,0d4fcf27-0390-404e-ad36-cf2a71828890.live_data.json,1922.0469,0d4fcf27-0390-404e-ad36-cf2a71828890,2018-08-13 21:08:39.473
2018-07-18 07:56:35.000,2018-07-18 07:18:30.000,2284840,UTC+0100,1001,1.7394173,141.49939,1.4025916,2018-07-18 07:58:11.748,0d71c241-c0aa-4ce3-aad0-db1d246baa27.live_data.json,3204.6973,0d71c241-c0aa-4ce3-aad0-db1d246baa27,2018-07-18 07:58:11.748
2018-06-25 07:41:22.000,2018-06-25 07:07:25.000,2036817,UTC+0100,1001,1.6988951,132.63635,1.4576944,2018-06-25 07:42:25.491,0dd264bf-ba05-4680-b9e4-fe20a54aed2b.live_data.json,2969.0566,0dd264bf-ba05-4680-b9e4-fe20a54aed2b,2018-06-25 07:42:25.491
2018-06-18 07:14:01.000,2018-06-18 06:40:23.000,2018678,UTC+0100,1001,1.6600436,131.17203,1.4598489,2018-06-18 07:15:07.546,0e576581-b070-4191-8366-5fa00f8fa303.live_data.json,2946.9648,0e576581-b070-4191-8366-5fa00f8fa303,2018-06-18 07:15:07.546
2018-07-23 07:48:17.000,2018-07-23 07:24:00.000,1457472,UTC+0100,1001,1.6680307,94.57068,1.4505056,2018-07-23 07:51:45.974,0f226822-886c-4dde-a4bf-e543c36ff3c4.live_data.json,2114.0713,0f226822-886c-4dde-a4bf-e543c36ff3c4,2018-07-23 07:51:45.974
