end_time,distance,,,,,,,,,,
2018-08-09,1554.2812,,,,,,,,,,
2018-07-19,4040.6172,,,,,,,,,,
2018-08-13,1219.8828,,,,,,,,,,
2018-07-19,3127.5762,,,,,,,,,,
2018-06-24,1132.0781,,,,,,,,,,
2018-10-13,1154.1484,,,,,,,,,,
2018-09-27,1395.3398,,,,,,,,,,
2018-06-03,1409.0814,,,,,,,,,,
2018-08-30,1024.1582,,,,,,,,,,
2018-08-25,2564.7227,,,,,,,,,,
2018-06-28,1965.1797,,,,,,,,,,
2018-08-14,1597.0977,,,,,,,,,,
2019-01-23,1687.7688,,,,,,,,,,
2018-08-13,1922.0469,,,,,,,,,,
2018-07-18,3204.6973,,,,,,,,,,
2018-06-25,2969.0566,,,,,,,,,,
2018-06-18,2946.9648,,,,,,,,,,
2018-07-23,2114.0713,,,,,,,,,,
2018-08-14,1230.582,,,,,,,,,,
2018-08-15,2396.0898,,,,,,,,,,
2018-09-29,1208.3086,,,,,,,,,,
2018-06-03,4128.8066,,,,,,,,,,
2018-09-23,907.2207,,,,,,,,,,
2018-08-15,1804.5859,,,,,,,,,,
2018-11-04,1115.2031,,,,,,,,,,
2018-06-19,3076.748,,,,,,,,,,
2018-06-07,2619.0273,,,,,,,,,,
2018-06-17,1816.8662,,,,,,,,,,
2018-11-02,779.64355,,,,,,,,,,
2018-10-31,2092.9883,,,,,,,,,,
2018-09-22,1047.1113,,,,,,,,,,
2018-08-11,846.3594,,,,,,,,,,
2018-07-12,1787.8922,,,,,,,,,,
2018-09-28,2029.9639,,,,,,,,,,
2019-01-20,5594.45,,,,,,,,,,
2018-08-08,927.70605,,,,,,,,,,
2018-10-20,1083.9727,,,,,,,,,,
2018-07-25,1178.3379,,,,,,,,,,
2018-06-29,2217.1758,,,,,,,,,,
2018-07-07,1393.1836,,,,,,,,,,
2018-06-14,2551.4958,,,,,,,,,,
2018-10-07,3601.373,,,,,,,,,,
2018-11-10,2366.0503,,,,,,,,,,
2018-06-17,2096.7686,,,,,,,,,,
2018-06-24,2578.4922,,,,,,,,,,
2018-08-04,830.3198,,,,,,,,,,
2019-01-01,888.844,,,,,,,,,,
2018-12-13,1147.4961,,,,,,,,,,
2018-08-06,1161.9255,,,,,,,,,,
2019-01-17,965.7932,,,,,,,,,,
2018-06-19,2591.1104,,,,,,,,,,
2018-10-19,1316.0947,,,,,,,,,,
2018-11-10,2311.627,,,,,,,,,,
2018-07-02,1343.7949,,,,,,,,,,
2018-07-25,2828.084,,,,,,,,,,
2018-06-11,3004.3118,,,,,,,,,,
2018-12-16,2125.1833,,,,,,,,,,
2018-07-24,3093.601,,,,,,,,,,
2018-08-18,935.63086,,,,,,,,,,
2018-09-30,1786.7285,,,,,,,,,,
2018-07-03,2839.3618,,,,,,,,,,
2018-07-11,2168.207,,,,,,,,,,
2018-07-03,2265.3296,,,,,,,,,,
2018-06-12,2215.6953,,,,,,,,,,
2018-07-25,4209.3887,,,,,,,,,,
2018-08-18,1192.9873,,,,,,,,,,
2018-08-09,1486.0869,,,,,,,,,,
2018-07-13,3141.776,,,,,,,,,,
2018-08-11,1457.9043,,,,,,,,,,
2018-12-08,4071.8105,,,,,,,,,,
2018-07-12,3103.6855,,,,,,,,,,
2018-10-10,984.0747,,,,,,,,,,
2018-07-10,3119.0757,,,,,,,,,,
2018-10-20,1577.877,,,,,,,,,,
2018-07-03,2833.4849,,,,,,,,,,
2018-11-10,985.0908,,,,,,,,,,
2018-06-21,2972.166,,,,,,,,,,
2018-07-12,983.79126,,,,,,,,,,
2018-09-29,1041.6367,,,,,,,,,,
2018-06-29,3167.8086,,,,,,,,,,
2018-06-05,1659.6016,,,,,,,,,,
2018-08-10,2302.2668,,,,,,,,,,
2018-08-06,2139.0635,,,,,,,,,,
2019-01-15,5592.36,,,,,,,,,,
2018-11-02,4652.257,,,,,,,,,,
2018-06-18,3017.2695,,,,,,,,,,
2018-11-11,9096.341,,,,,,,,,,
2018-10-21,1667.7942,,,,,,,,,,
2018-08-18,2478.9365,,,,,,,,,,
2018-07-25,1979.4219,,,,,,,,,,
2018-10-27,983.7334,,,,,,,,,,
2018-08-11,1646.8926,,,,,,,,,,
2018-08-23,1120.5632,,,,,,,,,,
2018-06-30,2993.5703,,,,,,,,,,
2019-01-19,829.9883,,,,,,,,,,
2018-06-15,3149.788,,,,,,,,,,
2018-10-06,1364.6504,,,,,,,,,,
2018-07-01,1061.8501,,,,,,,,,,
2018-08-12,1486.6953,,,,,,,,,,
2018-11-29,1653.343,,,,,,,,,,
2018-07-16,3072.1458,,,,,,,,,,
2018-07-29,833.8384,,,,,,,,,,
2018-08-18,3045.2637,,,,,,,,,,
2018-12-07,1015.5908,,,,,,,,,,
2018-10-10,977.4385,,,,,,,,,,
2018-07-24,2751.123,,,,,,,,,,
2018-08-11,1623.7173,,,,,,,,,,
2018-07-17,3061.4512,,,,,,,,,,
2018-06-06,3059.8867,,,,,,,,,,
2018-07-23,2304.9358,,,,,,,,,,
2019-01-13,831.31836,,,,,,,,,,
2018-11-13,968.53784,,,,,,,,,,
2018-07-14,3179.8867,,,,,,,,,,
2018-10-12,1222.206,,,,,,,,,,
2018-08-25,896.9414,,,,,,,,,,
2018-06-30,3789.8735,,,,,,,,,,
2018-11-03,802.7283,,,,,,,,,,
2018-10-06,1719.8789,,,,,,,,,,
2018-11-30,1398.5103,,,,,,,,,,
2018-08-18,1062.3394,,,,,,,,,,
2018-07-06,2698.7598,,,,,,,,,,
2018-10-07,1043.418,,,,,,,,,,
2018-10-13,1150.7383,,,,,,,,,,
2018-11-16,1138.8896,,,,,,,,,,
2018-07-07,1074.8477,,,,,,,,,,
2018-08-27,1220.2969,,,,,,,,,,
2018-11-09,1116.4744,,,,,,,,,,
2018-09-27,1837.2432,,,,,,,,,,
2018-12-22,1395.4629,,,,,,,,,,
2018-08-15,1914.4336,,,,,,,,,,
2018-08-04,1315.7949,,,,,,,,,,
2018-11-04,1170.2473,,,,,,,,,,
2018-12-14,945.6722,,,,,,,,,,
2018-08-06,2919.8545,,,,,,,,,,
2018-07-11,3097.3555,,,,,,,,,,
2018-08-12,1672.6406,,,,,,,,,,
2018-07-25,1234.0684,,,,,,,,,,
2018-10-30,1108.7793,,,,,,,,,,
2018-07-24,887.4863,,,,,,,,,,
2018-08-13,1906.5137,,,,,,,,,,
2018-07-04,1517.0459,,,,,,,,,,
2018-06-26,1871.6289,,,,,,,,,,
2018-09-28,1763.9653,,,,,,,,,,
